날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2026-08-11,05:29,이체,이체,미분류,*****,1,KRW,신한 주거래 우대통장(S-lite),
2026-08-11,04:03,이체,현금,미분류,AYE CHAN TUN,450000,KRW,저축예금,
2026-08-10,20:03,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-41790,KRW,Air One (에어원) 스카이패스,
2026-08-10,18:27,지출,금융,이자/대출,한국장학재단,-68791,KRW,신한 주거래 우대통장(S-lite),
2026-08-10,18:27,지출,금융,이자/대출,한국장학재단,-59515,KRW,신한 주거래 우대통장(S-lite),
2026-08-10,18:27,지출,금융,이자/대출,한국장학재단,-59981,KRW,신한 주거래 우대통장(S-lite),
2026-08-10,16:15,지출,생활,마트,신세계마트,-6780,KRW,Air One (에어원) 스카이패스,
2026-08-10,14:18,지출,생활,생필품,주식회사 아성다이소,-7000,KRW,Air One (에어원) 스카이패스,
2026-08-10,12:56,지출,카페/간식,베이커리,도레도레,-11600,KRW,Air One (에어원) 스카이패스,
2026-08-10,08:52,이체,현금,미분류,004.안연심,-450000,KRW,신한 주거래 우대통장(S-lite),
2026-08-10,08:01,지출,주거/통신,휴대폰,LG  U+통신요금  자동이체,-26900,KRW,Air One (에어원) 스카이패스,
2026-08-10,07:08,지출,경조/선물,회비,국민의힘당비,-1000,KRW,신한 주거래 우대통장(S-lite),
2026-08-10,07:01,지출,온라인쇼핑,인터넷쇼핑,인천가스2608,-22330,KRW,신한 주거래 우대통장(S-lite),
2026-08-10,01:50,지출,교통,대중교통,(주)티머니지하철,-1550,KRW,라이언 치즈 체크카드,
2026-08-09,13:55,지출,식비,한식,반궁 송도트리플스트리트,-25800,KRW,Air One (에어원) 스카이패스,
2026-08-09,13:48,지출,문화/여가,도서,주식회사헤르메스(송도트리플스트리트점),-37800,KRW,Air One (에어원) 스카이패스,
2026-08-09,13:09,지출,패션/쇼핑,아울렛/몰,현대아울렛 송도점,-55700,KRW,Air One (에어원) 스카이패스,
2026-08-09,12:55,지출,온라인쇼핑,결제/충전,이니시스,-1500,KRW,Air One (에어원) 스카이패스,
2026-08-09,08:49,지출,교육/학습,학습교재,웅진씽크빅,-43056,KRW,Air One (에어원) 스카이패스,
2026-08-08,01:35,지출,금융,이자/대출,한도대출이자,-239203,KRW,저축예금,
2026-08-08,00:37,지출,여행/숙박,숙박비,호텔롯데,-338800,KRW,Air One (에어원) 스카이패스,
2026-08-07,16:39,지출,금융,증권/투자,ATM(46-9441),-300000,KRW,NH주거래우대통장,
2026-08-07,16:18,이체,이체,미분류,THIDATUN,500000,KRW,NH주거래우대통장,
2026-08-07,04:57,지출,자동차,통행료,서울터널,-2700,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-08-07,04:57,지출,자동차,통행료,한국도로공사,-900,KRW,HYUNDAI BLUE members Family M2 Edition2(현대자동차_하이패스),
2026-08-06,13:51,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-16220,KRW,Air One (에어원) 스카이패스,
2026-08-06,12:24,지출,온라인쇼핑,홈쇼핑,주식회사 코리아성지,-16780,KRW,Air One (에어원) 스카이패스,
2026-08-06,10:55,지출,온라인쇼핑,인터넷쇼핑,주식회사 카카오,-12000,KRW,카카오페이 간편결제,
2026-08-06,10:55,이체,이체,미분류,카카오페이,-10000,KRW,신한 주거래 우대통장(S-lite),
2026-08-06,10:17,지출,자동차,통행료,한국도로공사,-2400,KRW,카카오페이 간편결제,
2026-08-06,10:17,이체,이체,미분류,카카오페이,-10000,KRW,신한 주거래 우대통장(S-lite),
2026-08-05,23:34,이체,이체,미분류,카카오페이,-55365,KRW,신한 주거래 우대통장(S-lite),
2026-08-05,23:34,지출,온라인쇼핑,인터넷쇼핑,ALIPAY CONNECT PTE. LTD,-69569,KRW,카카오페이 간편결제,
2026-08-05,12:09,지출,교통,택시,이동의즐거움_택시_0,-7900,KRW,Air One (에어원) 스카이패스,
2026-08-05,11:07,지출,생활,편의점,씨유(CU) 다운타운점,-2200,KRW,Air One (에어원) 스카이패스,
2026-08-05,07:55,이체,현금,미분류,THIDA TUN,-30000000,KRW,저축예금,
